chr1,2,10000001
chr1,10000002,20000001
chr1,20000002,30000001
chr1,30000002,40000001
chr1,40000002,50000001
chr1,50000002,60000001
chr1,60000002,70000001
chr1,70000002,80000001
chr1,80000002,90000001
chr1,90000002,100000001
chr1,100000002,110000001
chr1,110000002,120000001
chr1,120000002,130000001
chr1,130000002,140000001
chr1,140000002,150000001
chr1,150000002,160000001
chr1,160000002,170000001
chr1,170000002,180000001
chr1,180000002,190000001
chr1,190000002,200000001
chr1,200000002,210000001
chr1,210000002,220000001
chr1,220000002,230000001
chr1,230000002,240000001
chr1,240000002,248956422
chr2,2,10000001
chr2,10000002,20000001
chr2,20000002,30000001
chr2,30000002,40000001
chr2,40000002,50000001
chr2,50000002,60000001
chr2,60000002,70000001
chr2,70000002,80000001
chr2,80000002,90000001
chr2,90000002,100000001
chr2,100000002,110000001
chr2,110000002,120000001
chr2,120000002,130000001
chr2,130000002,140000001
chr2,140000002,150000001
chr2,150000002,160000001
chr2,160000002,170000001
chr2,170000002,180000001
chr2,180000002,190000001
chr2,190000002,200000001
chr2,200000002,210000001
chr2,210000002,220000001
chr2,220000002,230000001
chr2,230000002,240000001
chr2,240000002,242193529
chr3,2,10000001
chr3,10000002,20000001
chr3,20000002,30000001
chr3,30000002,40000001
chr3,40000002,50000001
chr3,50000002,60000001
chr3,60000002,70000001
chr3,70000002,80000001
chr3,80000002,90000001
chr3,90000002,100000001
chr3,100000002,110000001
chr3,110000002,120000001
chr3,120000002,130000001
chr3,130000002,140000001
chr3,140000002,150000001
chr3,150000002,160000001
chr3,160000002,170000001
chr3,170000002,180000001
chr3,180000002,190000001
chr3,190000002,198295559
chr4,2,10000001
chr4,10000002,20000001
chr4,20000002,30000001
chr4,30000002,40000001
chr4,40000002,50000001
chr4,50000002,60000001
chr4,60000002,70000001
chr4,70000002,80000001
chr4,80000002,90000001
chr4,90000002,100000001
chr4,100000002,110000001
chr4,110000002,120000001
chr4,120000002,130000001
chr4,130000002,140000001
chr4,140000002,150000001
chr4,150000002,160000001
chr4,160000002,170000001
chr4,170000002,180000001
chr4,180000002,190000001
chr4,190000002,190214555
chr5,2,10000001
chr5,10000002,20000001
chr5,20000002,30000001
chr5,30000002,40000001
chr5,40000002,50000001
chr5,50000002,60000001
chr5,60000002,70000001
chr5,70000002,80000001
chr5,80000002,90000001
chr5,90000002,100000001
chr5,100000002,110000001
chr5,110000002,120000001
chr5,120000002,130000001
chr5,130000002,140000001
chr5,140000002,150000001
chr5,150000002,160000001
chr5,160000002,170000001
chr5,170000002,180000001
chr5,180000002,181538259
chr6,2,10000001
chr6,10000002,20000001
chr6,20000002,30000001
chr6,30000002,40000001
chr6,40000002,50000001
chr6,50000002,60000001
chr6,60000002,70000001
chr6,70000002,80000001
chr6,80000002,90000001
chr6,90000002,100000001
chr6,100000002,110000001
chr6,110000002,120000001
chr6,120000002,130000001
chr6,130000002,140000001
chr6,140000002,150000001
chr6,150000002,160000001
chr6,160000002,170000001
chr6,170000002,170805979
chr7,2,10000001
chr7,10000002,20000001
chr7,20000002,30000001
chr7,30000002,40000001
chr7,40000002,50000001
chr7,50000002,60000001
chr7,60000002,70000001
chr7,70000002,80000001
chr7,80000002,90000001
chr7,90000002,100000001
chr7,100000002,110000001
chr7,110000002,120000001
chr7,120000002,130000001
chr7,130000002,140000001
chr7,140000002,150000001
chr7,150000002,159345973
chr8,2,10000001
chr8,10000002,20000001
chr8,20000002,30000001
chr8,30000002,40000001
chr8,40000002,50000001
chr8,50000002,60000001
chr8,60000002,70000001
chr8,70000002,80000001
chr8,80000002,90000001
chr8,90000002,100000001
chr8,100000002,110000001
chr8,110000002,120000001
chr8,120000002,130000001
chr8,130000002,140000001
chr8,140000002,145138636
chr9,2,10000001
chr9,10000002,20000001
chr9,20000002,30000001
chr9,30000002,40000001
chr9,40000002,50000001
chr9,50000002,60000001
chr9,60000002,70000001
chr9,70000002,80000001
chr9,80000002,90000001
chr9,90000002,100000001
chr9,100000002,110000001
chr9,110000002,120000001
chr9,120000002,130000001
chr9,130000002,138394717
chr10,2,10000001
chr10,10000002,20000001
chr10,20000002,30000001
chr10,30000002,40000001
chr10,40000002,50000001
chr10,50000002,60000001
chr10,60000002,70000001
chr10,70000002,80000001
chr10,80000002,90000001
chr10,90000002,100000001
chr10,100000002,110000001
chr10,110000002,120000001
chr10,120000002,130000001
chr10,130000002,133797422
chr11,2,10000001
chr11,10000002,20000001
chr11,20000002,30000001
chr11,30000002,40000001
chr11,40000002,50000001
chr11,50000002,60000001
chr11,60000002,70000001
chr11,70000002,80000001
chr11,80000002,90000001
chr11,90000002,100000001
chr11,100000002,110000001
chr11,110000002,120000001
chr11,120000002,130000001
chr11,130000002,135086622
chr12,2,10000001
chr12,10000002,20000001
chr12,20000002,30000001
chr12,30000002,40000001
chr12,40000002,50000001
chr12,50000002,60000001
chr12,60000002,70000001
chr12,70000002,80000001
chr12,80000002,90000001
chr12,90000002,100000001
chr12,100000002,110000001
chr12,110000002,120000001
chr12,120000002,130000001
chr12,130000002,133275309
chr13,2,10000001
chr13,10000002,20000001
chr13,20000002,30000001
chr13,30000002,40000001
chr13,40000002,50000001
chr13,50000002,60000001
